date,open,high,low,close
05/04/2016,2101,2095.3,2138.7,2136.5
06/04/2016,2137.5,2130.2,2158.1,2150.1
07/04/2016,2158.3,2123.2,2162.9,2129.2
08/04/2016,2129.3,2121.5,2148.3,2143
11/04/2016,2135.4,2127.1,2160.2,2151.5
12/04/2016,2154.6,2137.9,2171.7,2171.4
13/04/2016,2151.8,2131.8,2173.6,2169.4
14/04/2016,2175,2165,2203.6,2202.9
15/04/2016,2193,2191.8,2224.8,2199.1
18/04/2016,2183,2172.7,2218.7,2218
19/04/2016,2224.2,2209.6,2234.6,2230.3
20/04/2016,2231.7,2219.5,2244.3,2239.5
21/04/2016,2233.3,2233.3,2263.3,2255.7
22/04/2016,2260.5,2260.2,2283.6,2279.2
25/04/2016,2281.7,2260.3,2286.7,2276.1
26/04/2016,2274.4,2261.8,2295.5,2293.7
27/04/2016,2294.2,2278,2302.4,2286.1
28/04/2016,2284.3,2262.9,2289.6,2273.6
29/04/2016,2273.9,2273.9,2315.8,2310.7
03/05/2016,2300.9,2289.6,2311.4,2302.1
04/05/2016,2300.2,2269,2308,2302.3
05/05/2016,2300.2,2281.9,2300.2,2283
06/05/2016,2280.3,2233.6,2281.1,2234.1
09/05/2016,2237.4,2228.6,2256.1,2249.5
10/05/2016,2254.3,2242.9,2273.4,2263.5
11/05/2016,2261.7,2238.9,2276.8,2240.9
12/05/2016,2245.5,2195.9,2256.4,2210.9
13/05/2016,2204.9,2183.9,2209.8,2188.8
16/05/2016,2187.9,2138.9,2197.9,2153.9
17/05/2016,2146.6,2126.1,2148.7,2129.6
18/05/2016,2136.3,2114.9,2146.3,2140.3
19/05/2016,2138.1,2113.8,2146.5,2116.2
20/05/2016,2123,2120,2147.7,2147.7
23/05/2016,2139.1,2134.8,2206.7,2205
24/05/2016,2223,2175.9,2232.5,2189.3
25/05/2016,2190.7,2154.3,2199.9,2162.3
26/05/2016,2159.9,2137.1,2163,2160.2
27/05/2016,2177.8,2175.3,2207.1,2198.3
31/05/2016,2195.9,2195.7,2231.4,2224.3
01/06/2016,2229.4,2200.7,2238.4,2224.6
02/06/2016,2221.4,2216.9,2248.4,2240.5
03/06/2016,2240.3,2207.1,2251.7,2229.6
06/06/2016,2239.9,2237.7,2266.4,2252
07/06/2016,2248.2,2233.1,2253.2,2251.6
